1	1	1	Y			N	
3	2	1	N	Y		Y	
4	3	1	N	Y		Y	
5	4	1	N	N		Y	
6	5	1	N	Y		Y	
7	6	1	N	Y		Y	
8	7	1	N			Y	
9	8	1	N	Y		Y	
10	9	1	N	Y		Y	
11	10	1	N	Y		Y	
12	11	1	N	Y		Y	
13	12	1	N	Y		Y	
14	13	1	N	Y		Y	
15	14	1	N	Y		Y	
16	15	1	N			Y	
17	16	1	N	Y		Y	
18	17	1	N	Y		Y	
19	18	1	N	Y		Y	
20	1	2	Y			Y	
23	21	1	N	Y		N	
24	22	1	N	Y		N	
25	23	1	N	Y		N	
26	24	1	N			N	
27	25	1	N			N	
28	26	1	N			N	
29	27	1	N	Y		N	
30	28	1	N	Y		N	
31	29	1	N	Y		N	
32	30	1	N			N	
33	31	1	N	Y		N	
34	32	1	N	Y		N	
35	33	1	N	Y		N	
43	160	5	Y			Y	
45	41	6	Y			Y	
49	42	7	N			Y	
50	43	7	N			Y	
51	44	7	N			Y	
52	45	7	N			Y	
53	46	7	N			Y	
54	47	7	N			Y	
55	48	7	N			Y	
56	49	7	N			Y	
57	50	7	N			Y	
58	51	7	N			Y	
59	52	7	N			Y	
60	53	7	N			Y	
61	54	7	N			Y	
62	55	7	N			Y	
63	56	7	N			Y	
64	57	7	N			Y	
65	58	7	N			Y	
66	59	7	N			Y	
67	60	7	N			Y	
68	61	7	N			Y	
69	62	7	N			Y	
70	63	7	N			Y	
71	64	7	N			Y	
72	65	7	N			Y	
73	66	7	N			Y	
74	67	7	N			Y	
75	68	7	N			Y	
76	69	7	N			Y	
77	70	7	N			Y	
78	71	7	N			Y	
79	72	7	N			Y	
80	73	7	N			Y	
81	74	7	N			Y	
82	75	7	N			Y	
83	76	7	N			Y	
84	77	7	N			Y	
85	78	7	N			Y	
86	79	7	N			Y	
87	80	7	N			Y	
88	81	7	N			Y	
89	82	7	N			Y	
90	83	7	N			Y	
91	84	7	N			Y	
92	85	7	N			Y	
93	86	7	N			Y	
94	87	7	N			Y	
95	88	7	N			Y	
96	89	7	N			Y	
97	90	7	N			Y	
98	91	7	N			Y	
99	92	7	N			Y	
100	93	7	N			Y	
101	94	7	N			Y	
102	95	7	N			Y	
103	96	7	N			Y	
104	97	7	N			Y	
105	98	7	N			Y	
106	99	7	N			Y	
107	100	7	N			Y	
108	101	7	N			Y	
109	102	7	N			Y	
110	103	7	N			Y	
111	104	7	N			Y	
112	105	7	N			Y	
113	106	7	N			Y	
114	107	7	N			Y	
115	108	7	N			Y	
116	109	7	N			Y	
117	110	7	N			Y	
118	111	7	N			Y	
119	112	7	N			Y	
120	113	7	N			Y	
